,Label,Tweet
0,1,Olive garden get her like... #demnoodlestho #food #metoo https://t.co/L2cuYZRc9R
1,1,WaPo: It's not just young men — everyone's playing a lot more #videogames https://t.co/stSaA8ERJl #metoo
2,1,It looks more and more like an #iPhone whats the #fun in being a #metoo https://t.co/B6BMNNsuxt
3,1,"Desserts of Halloween can be easy like this, Please help for'RT' 👇Via. So Yummy
#food #yummy #MeToo #amazing #sweet… https://t.co/w8YXPK4qs9"
4,1,"Middle-earth™: Shadow of War™ 45.99$
https://t.co/5594zibVp8

#gamesdeals #games #steam #pc #ShadowOfWar #MeToo https://t.co/zkxjhUgOw7"
5,1,"Read the photo context,it's work out
#marriage #relation #stronger #we #MeToo #Iphone #lonely https://t.co/CqTs7P3idX"
6,1,"Read the photo context,it's work out
#marriage #relation #stronger #we #MeToo #Iphone #lonely https://t.co/Huqj9ky77q"
7,1,"Read the photo context,it's work out
#marriage #relation #stronger #we #MeToo #Iphone #lonely https://t.co/nASjyWucFr"
8,0,#teamfollowback #MeToo: Sexual harassment stories sweep social media after Weinstein allegations https://t.co/pEOeMlgLcP #followmejp
9,1,The latest #Fashion #Fitness #Forty #Food! https://t.co/LWPZi32GeB #metoo
10,1,"Me too. 😔
.
.
.
.
.
———————————————————————————
#metoo #me #gamer #girlgamer #gamergirl #nerd… https://t.co/lknmawVGug"
11,1,https://t.co/rjysAHWcot beats vs. @JBLaudio #MeToo #NationalBossDay #gaming #YouTuber
12,1,The latest The Talking Biz News Daily! https://t.co/4PbufssD0t Thanks to @StevenOverly @robjohnsonIAPE @willashworth01 #apple #metoo
13,1,RT Steve_Games: #metoo DISCLAIMER https://t.co/cwDaSC7Oyu #BookBoost #IARTG #art #SciFi #amreading #Books #indie #Games #indiedev #gamedev…
14,1,@lilshopartbox likes meat.  #metoo #grilledcheezguy #bayarea #eatme #eatme @streetfoodsf #foodporn https://t.co/eOL9Gqpe3X
15,1,#MeToo — A Battle Cry – Lauren Jerome – Medium https://t.co/DXTcItdQyX #gaming https://t.co/eMEFuFtzuw
16,1,Working on these Calf Muscles 👌🏾 #fitness #TuesdayThoughts #MeToo #Food #Foodie #rt #SHARE #Repost #gymlife... https://t.co/SocmBYueTj
17,1,I hate the new  Twitter update #SimplyComplicated #MeToo #itfandomisoverparty #LWYMMDhalloween #TheManeEvent #Thewobsters #teamfollowback
18,0,#MeToo I'm sure a million times I don't remember &amp; specifically when I do remember being sent weird &amp; creepy message over #gaming networks.
19,1,Thready Threadiest Thread: #gaming #naughtydog #metoo https://t.co/KJwQR4Ti7F
20,1,I will find a way to bring dinosaurs back - Feeling determined. 🤔#internationalginandtonicday #MeToo #WeTheNorth #2017 #videogames #humans
21,0,Molestation does not exist in #Apple's autocorrect lexicon. I wonder if #Samsung is as willfully blind. #MeToo 🙈🙉🙊
22,1,"A #podcast interview with an extraordinary soul, actress, friend &amp; mom discussing #MeToo women, leadership, &amp; #food… https://t.co/fP5IQ8Z2Vp"
23,0,"RT RobynOBrienUSA: A #podcast interview with an extraordinary soul, actress, friend &amp; mom discussing #MeToo women, leadership, &amp; #food… …"
24,0,"A vital, urgent message to survivors of #SexualHarassment or #SexualAssault (#Rape) in the worlds of #Technology/… https://t.co/G2aQQvKdBX"
25,1,The latest The Financial News Daily! https://t.co/3aUDIae8xm #metoo #apple
26,1,"Time to gain some brownie pointes!
#MeToo,#datenight,#omaha,#Food,#fall,#AppleDay https://t.co/yVfR6BRobN"
27,0,Effing you up purposely. #Apple #Safari #ZeroHedge on mobile devices #metoo #bigBro https://t.co/EsQxt16MDZ
28,1,"😎🤘❤ Reason #24 to own #Vinyl :The #weekend feels good so does listening to vinyl.
#newyorkcity #miami #la #iphone… https://t.co/9wde0BzSSP"
29,1,"Stay positive, it's gonna be okay 
-
#sprüche #like4like #claims #positive #CHEWAT #MeToo #Lgbt"
30,0,#MeToo Leads Neogaf to go offline - what happened? Details on my blog. #videogames #news #HarveyWeinstein… https://t.co/s5nLYtPnPo
31,1,Let's try it live TPS ep 9 https://t.co/1GhhG2HzGf #metoo #terrycrews #dallascowboys #harveyweinstein #newpodcaster #gamer #animejunkie
32,0,"US celebrity chef resigns over sexual harassment allegations
#restaurant #food #MeToo #johnbesh #foodie  
https://t.co/RcOgucfA2r"
33,1,#PS4live #F1 #2017 #GoodDayToDrive #Simracing #No_Assists #STR #Toro #BadHost              #HeGone #MeToo... live at https://t.co/sQlRIeafeK
34,0,#discrimination in #gaming? @theDemantoid talks about her #MeToo moments in gaming and discusses other #gamer hatre… https://t.co/dUrCxgrT8S
35,0,"Retweeted Financial Times (@FT):

Anne-Sylvaine Chassany: France has its own version of #MeToo – #Balancetonporc,... https://t.co/80mkxlCBp8"
36,0,"A 3 month process BEFORE filing a Sexual Harassment Complaint? 
#NonconsensualSexIsRAPE  #MeToo Thanks… https://t.co/cX0pnqu1uV"
37,1,What The #MeToo Response Says About Women's Relationship To Power https://t.co/jhwRhw3j8K
38,0,Love this from @megan_nobertin: Humanitarian agencies are not exempt from #MeToo. Here's how they should respond: https://t.co/63ddO0CwpF
39,0,"""...implies that even in the midst of #MeToo moment,women&amp;survivors..will never be as important..as the powerful me… https://t.co/MUabMAZIFy"
40,0,I couldn't have said it better! #NoMeansNo #stopsexualharassment #mybodymyproperty #strongwomen #metoo #HandsOff… https://t.co/n2saNZujY0
41,1,"#manafort: I don't remember laundering money from Russia or conspiring against the United States. I'm sorry if I did.' Also, I'm gay. #metoo"
42,0,"While you were looking at anything else, Frederica Wilson has been called a whore. Run this up your #metoo radar. https://t.co/wmDyVOTYpd"
43,1,RT @r1_r2_: Discount from 20% to 80% https://t.co/jQU68wrIMJ #metoo #thebest #thorragnarok #newprofilepic #mpn #melhorclipetvzluan #ai #op…
44,1,"Abusing someone shows your cowardice. 31 Oct, 17 03:24 am. Report Tweet.   #AbuseFreeIndia #MeToo https://t.co/l26J5V1YXm"
45,1,We need better balance to promote better atmosphere of content creation #genderequity #metoo #sexism #pointofview  https://t.co/zgf0KS6LvK
46,1,The latest Flookie's Daily Paper! https://t.co/kfLgAnwCUS # #metoo
47,0,".@wgnkingjohn, @SteveBertrand, @EricZorn &amp; @sstantis discuss Sen. Flake's remarks, 401(k)and responses to #MeToo… https://t.co/wpHNh0kDz2"
48,0,"This person is a serial online abuser. 31 Oct, 17 03:48 am. Report Tweet.   #AbuseFreeIndia #MeToo https://t.co/ym2Rorq3le"
49,1,The latest The Naija_TFB Daily! https://t.co/uDPjixh7PD # #metoo
50,1,"jbc vs gvd 

#metoo https://t.co/jwAWWlJz89"
51,1,"No more #House of #Cards. Very sad. #MeToo @netflix 

😩"
52,0,Would B amazing if Hollywood paved the way for those #sexuallyassaulted in the #church to now come forward #godhatesabuse #nomore #metoo
53,0,#Breaking_News (The Problem with #MeToo and How We Can All Do Better) - https://t.co/NnWYpWqPmM via #Indilens https://t.co/O1DIOIhvCH
54,0,Head over to Buzzfeed’s FB page to show your support for her and all these courageous women! #unapologeticallydifferent #bewhoyouare #metoo
55,1,#metoo . Stand up for what is right. Stay strong out there❤️
56,0,#MeToo Shocked Me as a Man — and That's the Problem https://t.co/jJJnMA6wat
57,0,A helpful reminder of the best way to avoid the #MeToo phenomenon: https://t.co/QZsaA5HtMO
58,1,Hope @KevinSpacey saved lots of money because I suspect his career is toast. #KevinSpacey #MeToo
59,0,"On @PlayersTribune @bre_stewart30 writes ""This is one of the most difficult things I’ve ever done #MeToo https://t.co/d5ASW94LAw"
60,0,"""The real surprise of #MeToo was no surprise at all: that nearly every woman had experienced sexual harassment..."" https://t.co/0WPeAguXNl"
61,0,So glad my professor is giving credit to @TaranaBurke for the #metoo campaign vs Alyssa Milano
62,0,Male sexual aggressiveness has been a challenge every civilization has had to manage. #MeToo  https://t.co/M1T3yDJuAL
63,0,"""#MeToo: Does the Government Have a Role to Play in Curbing Sexual Assault?"" via @Countable https://t.co/1LWHPbnG7Q"
64,0,"Just when you think it can't get worse, we have Kevin Spacey. 
Let's make #MeToo a hashtag for ordinary women https://t.co/8LPqSj1AcN"
65,0,"Through my tears, I connected most with: 
""I could be...living life as I normally would, and memories like lightnin… https://t.co/utpEACJEJT"
66,1,Make Sure you didn't Miss Amor Shabbi Post! https://t.co/E4Ny9G7onT # #metoo
67,0,"My #metoo happened only half an hour ago

This hasnt stopped"
68,1,Dear #MeToo Christians: Time to Take a Long Look in the Mirror https://t.co/NTG2NbN6EO
69,0,"Kevin Spacey story isn't ""sexual harassment."" It's pedophelia. #MeToo"
